State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Kolkata,Mechua,Apple,Other,Medium,03/07/2016,9200,9300,9300,17
West Bengal,Kolkata,Mechua,Apple,Other,Small,03/07/2016,7800,8000,8000,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,06/07/2016,8400,8500,8400,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,09/07/2016,8400,8600,8500,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,10/07/2016,8400,8600,8500,17
West Bengal,Kolkata,Mechua,Apple,Other,Large,12/07/2016,10500,11000,10600,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,13/07/2016,8500,8600,8600,17
West Bengal,Kolkata,Mechua,Apple,Other,Large,14/07/2016,10200,10600,10300,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,15/07/2016,8600,9000,8800,17
West Bengal,Kolkata,Mechua,Apple,Other,Small,20/07/2016,7700,7800,7700,17
West Bengal,Kolkata,Mechua,Apple,Other,Large,21/07/2016,10800,11000,10800,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,23/07/2016,9500,9600,9600,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,26/07/2016,9500,9600,9600,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,27/07/2016,9500,9600,9600,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,30/07/2016,9600,9800,9800,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,01/08/2016,9700,9800,9800,17
West Bengal,Kolkata,Mechua,Apple,Other,Small,02/08/2016,8400,8500,8400,17
West Bengal,Kolkata,Mechua,Apple,Other,Large,05/08/2016,10700,10800,10800,17
West Bengal,Kolkata,Mechua,Apple,Other,Large,06/08/2016,10800,11000,11000,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,06/08/2016,9200,9300,9300,17
West Bengal,Kolkata,Mechua,Apple,Other,Large,07/08/2016,11000,11200,11200,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,08/08/2016,9200,9300,9300,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,10/08/2016,9200,9300,9300,17
West Bengal,Kolkata,Mechua,Apple,Other,Small,14/08/2016,7000,7200,7200,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,17/08/2016,8400,8600,8400,17
West Bengal,Kolkata,Mechua,Apple,Other,Large,18/08/2016,10200,10300,10200,17
West Bengal,Kolkata,Mechua,Apple,Other,Medium,20/08/2016,8300,8400,8300,17
West Bengal,Kolkata,Mechua,Apple,Other,Small,27/08/2016,6400,6500,6400,17
