N,P,K,Temperature,Humidity,Ph,Rain,Crop
19.74,61.94,31.4,23.35,22.27,6.34,87.72,Arhar (Tur/Red Gram)(Whole)
97.41,84.04,48.84,22.75,77.35,6.51,132.87,Banana
99.7,73.96,41.23,25.97,83.75,6.34,145.62,Banana
35.5,59.84,16.05,26.14,73.65,6.75,68.38,Green Gram (Moong)(Whole)
33.61,51.48,32.05,26.06,51.74,5.62,98.75,Mango
100.75,75.38,49.87,22.15,83.82,5.67,164.52,Banana
85.46,88.71,45.9,28.81,82.7,6.93,136.83,Banana
86.83,71.94,42.16,22.69,76.12,6.28,213.23,Banana
3.66,23.11,31.36,22.1,94.49,5.7,104.79,Pomegranate
10.73,20.57,34.08,18.14,85.39,6.16,116.04,Pomegranate
15.99,51.55,20.98,34.0,81.45,6.69,65.91,Green Gram (Moong)(Whole)
21.31,36.71,22.73,25.5,51.17,5.48,94.78,Mango
33.92,70.13,53.11,15.7,55.66,7.12,80.71,Black Gram (Urd Beans)(Whole)
20.52,62.88,76.34,25.52,39.7,7.06,129.51,Black Gram (Urd Beans)(Whole)
12.6,46.68,24.1,28.65,51.31,5.19,95.54,Mango
90.34,82.47,42.48,26.21,76.49,6.8,169.48,Banana
89.65,73.26,45.02,28.68,83.75,5.63,139.64,Banana
14.8,130.94,198.56,30.73,84.12,6.33,76.75,Grapes
35.63,54.62,26.46,32.74,57.01,6.42,80.3,Mango
30.99,45.34,25.48,28.63,57.85,6.22,84.79,Mango
87.72,64.55,49.24,21.15,84.75,7.03,220.91,Banana
11.58,52.01,27.95,25.49,45.62,5.94,89.9,Mango
11.1,29.26,38.6,19.76,91.47,5.9,106.54,Pomegranate
72.64,63.19,44.72,26.36,65.04,6.97,80.24,Bhindi(Ladies Finger)
18.36,69.04,29.61,19.95,38.61,5.74,133.1,Arhar (Tur/Red Gram)(Whole)
27.76,67.66,16.6,19.25,32.22,6.17,123.74,Arhar (Tur/Red Gram)(Whole)
27.95,59.74,18.75,33.07,61.27,6.8,52.95,Green Gram (Moong)(Whole)
25.21,70.16,26.71,21.85,61.21,6.11,90.67,Arhar (Tur/Red Gram)(Whole)
39.45,57.53,18.64,31.83,61.16,7.49,73.71,Green Gram (Moong)(Whole)
12.49,55.88,23.54,32.03,55.0,6.39,97.13,Mango
8.07,29.43,39.03,23.16,86.48,6.49,108.07,Pomegranate
8.51,55.3,28.99,34.58,47.88,5.82,81.74,Mango
7.83,17.97,32.78,24.73,87.25,5.95,113.8,Pomegranate
15.9,137.64,192.32,28.7,84.18,6.17,63.65,Grapes
26.87,122.86,196.11,29.51,77.62,6.49,70.02,Grapes
35.13,53.75,20.22,27.22,63.21,7.22,47.36,Green Gram (Moong)(Whole)
92.88,84.42,49.5,23.64,75.12,7.04,128.03,Banana
12.49,23.54,32.38,21.73,92.51,5.86,116.64,Pomegranate
71.6,48.31,44.82,26.4,89.9,6.81,283.79,Rice
97.07,74.63,46.99,26.84,81.15,6.58,155.58,Banana
