State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-05,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-06,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-07,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-08,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-09,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-10,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-11,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-12,2600,2800,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-13,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-14,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-15,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-16,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-17,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-18,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-19,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-20,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-21,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-22,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-23,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-24,2600,2800,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-25,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-26,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-27,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-28,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-29,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-30,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-07-31,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-01,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-02,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-03,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-04,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-05,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-06,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-07,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-08,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-09,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-10,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-11,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-12,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-13,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-14,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-15,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-16,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-17,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-18,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-19,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-20,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-21,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-22,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-23,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-24,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-25,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-26,2500,2600,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-27,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-28,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-29,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-30,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-08-31,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-01,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-02,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-03,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-04,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-05,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-06,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-07,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-08,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-09,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-10,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-11,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-12,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-13,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-14,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-15,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-16,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-17,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-18,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-19,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-20,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-21,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-22,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-23,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-24,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-25,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-26,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-27,2600,2700,2600,3
West Bengal,Kolkata,Sealdah Koley Market,Rice,Fine,FAQ,2021-09-28,2600,2700,2600,3
